
BU_CODE,BU_NAAM,WK_CODE,GM_CODE,GM_NAAM,BEV_DICHTH,AANT_INW,AANT_MAN,AANT_VROUW,P_00_14_JR,P_15_24_JR,P_25_44_JR,P_45_64_JR,P_65_EO_JR,P_WEST_AL,P_N_W_AL,P_MAROKKO,P_ANT_ARU,P_SURINAM,P_TURKIJE,P_OVER_NW,WONINGEN,P_1GEZW,P_MGEZW,P_BEWNDW,P_KOOPWON,P_HUURWON,P_HUURCORP,P_HUUROVVH,P_WONT2000,P_WONV2000,P_LEEGSW,WW_UIT_TOT,AUTO_HH,AV1_ARTSPR,AF_APOTH,AF_ZIEK_I,AV1_SUPERM,AV1_DAGLMD,AV1_CAFE,AF_WARENH,AV1_RESTAU,AF_HOTEL,AV1_KDV,AV1_BSO,AV1_ONDBAS,AF_ONDVRT,AF_ONDVMB,AF_ONDHV,AF_TREINST,AF_BIBLIO,AF_BIOS,AF_ATTRAC,AF_PODIUM,AF_MUSEUM
BU17110629,Echterbosch,WK171106,GM1711,Echt-Susteren,157,60,30,30,3,12,16,43,26,21,3,-99999999,-99999999,-99999999,-99999999,-99999999,30,100,0,83,80,20,0,20,90,10,17,0,-99999999.0,0.0,3.3,8.7,0.0,0.0,0.0,8.9,1.0,4.6,0.0,0.0,0.0,9.5,9.5,9.5,8.2,9.1,8.4,8.1,14.9,9.2
BU17110630,Maria Hoop,WK171106,GM1711,Echt-Susteren,1108,855,435,425,11,7,19,36,28,14,2,0,0,0,1,1,392,96,4,97,86,14,6,7,85,15,3,10,1.4,0.0,4.3,7.7,0.0,0.0,0.9,8.1,0.4,3.8,0.6,0.6,0.6,8.5,8.5,8.5,7.4,8.2,7.6,7.2,13.8,8.2
BU17110731,Hingen,WK171107,GM1711,Echt-Susteren,1349,625,320,310,12,13,18,33,23,10,2,0,0,0,1,1,256,98,2,98,92,8,1,7,93,7,2,0,1.5,0.8,1.6,1.8,0.8,0.8,1.2,2.3,1.9,1.7,0.9,0.2,0.0,2.5,2.5,2.5,1.8,2.3,2.2,1.3,12.8,2.3
BU17110732,Peij,WK171107,GM1711,Echt-Susteren,2429,2920,1460,1465,14,8,21,29,28,12,4,0,0,0,0,4,1385,81,19,97,69,31,24,7,77,23,3,40,1.2,1.5,1.1,2.0,1.8,3.1,1.7,2.3,5.0,1.3,1.5,1.7,0.9,2.8,2.8,2.8,1.6,2.4,1.9,1.9,12.4,2.5
BU17110733,Peijerveld,WK171107,GM1711,Echt-Susteren,118,490,325,165,10,8,31,35,15,10,37,1,0,0,3,33,57,82,18,75,40,60,0,60,68,32,25,0,-99999999.0,0.0,2.8,3.8,0.0,0.0,0.5,4.0,0.0,0.8,0.0,0.0,0.0,4.7,4.7,4.7,3.3,4.2,3.6,3.7,13.2,4.3
BU17110734,Recreatiepark Marisheem,WK171107,GM1711,Echt-Susteren,36,10,10,5,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,2,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999.0,0.0,2.4,3.4,0.0,0.0,1.0,3.6,0.0,1.0,0.0,0.0,0.0,4.3,4.3,4.3,2.9,3.8,3.1,3.3,13.0,3.9
BU17110735,Schilberg,WK171107,GM1711,Echt-Susteren,2156,1905,950,955,14,10,25,30,21,14,4,0,0,0,0,3,941,73,27,97,68,32,14,18,85,15,3,30,1.1,1.6,0.5,1.1,1.6,5.6,1.4,1.5,5.2,0.7,2.2,1.8,1.1,2.0,2.0,2.0,0.8,1.6,1.2,1.2,12.3,1.6
BU17110750,Buitengebied Hingen,WK171107,GM1711,Echt-Susteren,-99999999,0,0,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0
BU17110836,Liboscherveld,WK171108,GM1711,Echt-Susteren,24,100,55,45,10,10,28,34,17,22,1,-99999999,-99999999,-99999999,-99999999,-99999999,37,95,5,86,70,30,0,30,97,3,14,0,1.2,0.2,2.1,3.1,0.3,0.8,1.5,3.2,1.7,1.8,0.1,0.3,0.8,4.0,4.0,4.0,2.6,3.3,2.8,3.3,11.1,3.4
BU17110837,Slek,WK171108,GM1711,Echt-Susteren,1547,880,445,435,12,11,16,33,29,12,3,0,0,0,0,2,390,98,2,96,82,18,11,7,87,13,4,10,1.5,0.1,1.7,2.7,0.0,0.1,2.0,2.8,1.1,2.0,0.0,0.1,1.0,3.6,3.6,3.6,2.1,3.0,2.4,2.9,11.1,3.1
BU17110938,Verspreide huizen Nieuwstadt,WK171109,GM1711,Echt-Susteren,6,20,10,10,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,7,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999.0,0.0,2.7,7.2,0.1,0.9,0.0,5.4,0.0,2.4,0.9,0.4,0.4,4.8,5.7,4.8,2.6,5.2,5.0,2.9,5.0,5.2
