wk_code,versie,jaar,wk_naam,lbm,afw,fys,onv,soc,vrz,won
WK039802,Leefbaarometer 3.0,2018,Wijk 02 Schilderswijk,4.063913826213993,-0.03835102492969244,9.549272855926247e-4,0.03750876559387498,0.015162545049770264,-0.07623228824409274,-0.015744974614837818
WK039802,Leefbaarometer 3.0,2020,Wijk 02 Schilderswijk,4.100765460801777,-0.0014993903419074925,0.00843692660273757,0.0470639307822157,0.014025174318050943,-0.06345333694720796,-0.0075720850977040255
WK039804,Leefbaarometer 1.0,2002,Wijk 04 Planetenwijk,4.024725431442301,-0.07753941970138496,NA,NA,NA,NA,NA
WK039804,Leefbaarometer 1.0,2008,Wijk 04 Planetenwijk,4.04909992575439,-0.05316492538929521,NA,NA,NA,NA,NA
WK039804,Leefbaarometer 2.0,2012,Wijk 04 Planetenwijk,4.066688034148801,-0.03557681699488447,NA,NA,NA,NA,NA
WK039804,Leefbaarometer 3.0,2014,Wijk 04 Planetenwijk,4.093534764943427,-0.008730086200257867,-0.0019547364636255064,-7.501471709246339e-4,0.019814074751167175,-0.022484548377027125,-0.003354728939848055
WK039804,Leefbaarometer 2.0,2016,Wijk 04 Planetenwijk,4.09495793917465,-0.007306911969034863,NA,NA,NA,NA,NA
WK039804,Leefbaarometer 3.0,2018,Wijk 04 Planetenwijk,4.094832317886684,-0.007432533257000969,-0.01599973853557211,0.025037743922516106,0.016467448737738383,-0.02517187061990197,-0.007766116761781639
WK039804,Leefbaarometer 3.0,2020,Wijk 04 Planetenwijk,4.127636841335697,0.025371990192011636,2.6034589440327923e-6,0.030345635601488327,0.017129219345813556,-0.010952538455691193,-0.011152929758543331
WK039806,Leefbaarometer 1.0,2002,Wijk 06 Bomen- Recreatiewijk,3.972880771007801,-0.1293840801358842,NA,NA,NA,NA,NA
WK039806,Leefbaarometer 1.0,2008,Wijk 06 Bomen- Recreatiewijk,3.9902674600816868,-0.1119973910619983,NA,NA,NA,NA,NA
WK039806,Leefbaarometer 2.0,2012,Wijk 06 Bomen- Recreatiewijk,4.013187539093087,-0.08907731205059856,NA,NA,NA,NA,NA
